,Aircraft,Type Of Traveller,Seat Type,Route,Departure,Destination,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
307,A320,Business,Business Class,Larnaca to London,larnaca,london,Mar-19,1,4,4,,3,,1,FALSE
311,A320 Neo,Couple Leisure,Business Class,Madrid to London,madrid,london,Mar-19,3,5,5,,4,,4,TRUE
316,Boeing 787,Couple Leisure,Business Class,Los Angeles to London,los angeles,london,Mar-19,4,5,5,5,4,,5,TRUE
317,A321,Solo Leisure,Economy Class,Rome to London,rome,london,Mar-19,5,4,1,,5,,5,TRUE
320,A320,Business,Economy Class,London Heathrow to Madrid ,london,madrid,Mar-19,5,5,,,5,,5,TRUE
313,Boeing 777,Solo Leisure,First Class,London to Mumbai ,london,mumbai,Mar-19,4,5,2,3,4,,4,TRUE
323,A320,Family Leisure,Business Class,London to Pisa,london,pisa,Mar-19,1,4,2,,3,,1,FALSE
312,Boeing 747-400,Solo Leisure,Economy Class,London to Vancouver ,london,vancouver,Mar-19,3,5,4,4,4,,4,TRUE
322,Boeing 777,Business,Economy Class,London to Austin,london,austin,Feb-19,4,5,3,4,5,,4,TRUE
326,Boeing 747-400,Business,First Class,London to Chicago,london,chicago,Feb-19,1,2,1,1,1,1,1,FALSE
276,A320,Solo Leisure,Economy Class,Amsterdam to London,amsterdam,london,Feb-19,2.961603613777527,3.411067193675889,,,1,,1,FALSE
325,B747-400,Business,Business Class,Chicago to London Heathrow,chicago,london,Feb-19,1,1,1,1,1,1,1,FALSE
328,Boeing 787-9,Business,Economy Class,Doha to London Heathrow,doha,london,Feb-19,3,3,3,2,3,2,3,TRUE
332,Boeing 787,Couple Leisure,Economy Class,Baltimore to London Heathrow,baltimore,london,Feb-19,1,1,1,1,2,,2,FALSE
339,A380,Family Leisure,Business Class,Johannesburg to London,johannesburg,london,Feb-19,3,3,3,4,3,4,3,TRUE
324,Boeing 777,Couple Leisure,Economy Class,Gatwick to Mauritius,london,mauritius,Feb-19,1,3,2,1,2,,2,FALSE
330,Boeing 747-400,Family Leisure,Premium Economy,London to New York JFK,london,new york,Feb-19,4,5,4,5,5,3,4,TRUE
329,Boeing 787-9,Business,Premium Economy,London to Seoul,london,seoul,Feb-19,5,4,3,3,2,,4,TRUE
321,Boeing 777,Couple Leisure,Business Class,Gatwick to St Lucia,london,st lucia,Feb-19,2,1,1,1,3,1,1,FALSE
331,Boeing 777,Business,Business Class,Gatwick to St Lucia,london,st lucia,Feb-19,4,4,4,4,3,,3,TRUE
356,A320,Solo Leisure,Economy Class,London to Bucharest,london,bucharest,Jan-19,1,4,1,1,5,,3,FALSE
344,A320,Business,Business Class,London to Dublin,london,dublin,Jan-19,5,5,5,,2,,5,TRUE
345,Boeing 777,Couple Leisure,Premium Economy,Bermuda to Gatwick,bermuda,london,Jan-19,1,1,1,1,3,1,1,FALSE
348,Boeing 777-200,Couple Leisure,Premium Economy,Antigua to Gatwick,antigua,london,Jan-19,1,2,2,3,4,,1,FALSE
346,A321-200,Solo Leisure,Economy Class,Zurich to Heathrow,zurich,london,Jan-19,1,4,,1,1,1,2,FALSE
